voted_for,race,region
Biden,White,Midwest
Biden,White,Northeast
Biden,White,Northeast
Biden,White,Northeast
Trump,Two or more races,Northeast
Biden,Black,South
Biden,White,South
Biden,White,Northeast
Biden,White,South
Biden,Black,South
Biden,White,South
Biden,Black,South
Trump,Middle Eastern,West
Biden,White,Northeast
Trump,Hispanic,South
Trump,White,Midwest
Biden,Black,South
Trump,White,West
Trump,White,South
Biden,White,Northeast
Trump,White,Northeast
Trump,White,West
Biden,White,South
Biden,Black,Northeast
Biden,White,West
Biden,White,Northeast
Trump,White,South
Biden,White,West
Biden,White,West
Biden,White,West
Trump,White,West
Trump,White,Northeast
Biden,White,Midwest
Biden,White,South
Biden,White,Midwest
Biden,Native American,West
Trump,White,South
Biden,Hispanic,South
Trump,White,West
Trump,Hispanic,South
Trump,Middle Eastern,West
Trump,White,South
Trump,White,West
Trump,White,South
Trump,White,South
Biden,White,Midwest
Biden,White,South
Biden,White,South
Biden,Black,South
Trump,White,South
Trump,White,Midwest
Trump,White,Midwest
Biden,White,South
Biden,Black,South
Biden,White,Midwest
Trump,White,West
Trump,White,Midwest
Biden,Middle Eastern,South
Biden,White,Northeast
Trump,White,West
Biden,Black,South
Trump,White,South
Trump,White,South
Biden,White,West
Biden,White,Midwest
Trump,White,West
Biden,White,Midwest
Trump,White,South
Trump,White,South
Trump,White,West
Biden,White,Northeast
Biden,Hispanic,South
Biden,White,South
Trump,Two or more races,South
Biden,Middle Eastern,South
Biden,White,South
Biden,White,West
Biden,White,South
Trump,White,Northeast
Biden,White,South
Biden,White,Midwest
Biden,White,Midwest
Biden,White,West
Trump,White,Midwest
Biden,White,West
Biden,White,South
Biden,White,West
Trump,White,Northeast
Biden,Black,Northeast
Biden,Black,South
Trump,White,South
Biden,White,Midwest
Biden,Black,South
Trump,White,South
Biden,Asian,Northeast
Biden,White,South
Trump,White,South
Trump,White,Midwest
Biden,White,South
Biden,White,Midwest
Trump,White,Northeast
Biden,Hispanic,West
Trump,White,South
Biden,White,Northeast
Biden,Two or more races,Midwest
Trump,White,South
Biden,Black,South
Trump,Two or more races,Northeast
Biden,Black,South
Biden,White,Midwest
Biden,White,West
Trump,Hispanic,South
Biden,White,Midwest
Biden,Middle Eastern,Northeast
Trump,White,South
Biden,White,Midwest
Biden,White,West
Biden,White,West
Biden,White,South
Biden,White,West
Biden,White,West
Trump,White,West
Trump,White,South
Biden,Black,South
Biden,Black,South
Trump,White,Midwest
Trump,White,Midwest
Trump,White,South
Trump,White,West
Biden,Hispanic,South
Trump,White,Midwest
Trump,Hispanic,South
Biden,Hispanic,South
Trump,White,Midwest
Biden,White,Midwest
Biden,Black,West
Biden,Black,West
Biden,White,Northeast
Biden,White,Midwest
Trump,White,South
Biden,White,South
Trump,White,Midwest
Biden,Black,West
Trump,White,South
Trump,White,West
Trump,White,South
Biden,Hispanic,West
Biden,White,Northeast
Trump,White,South
Biden,White,West
Trump,White,West
Biden,Asian,South
Biden,White,South
Biden,White,Midwest
Biden,White,Northeast
Biden,White,Northeast
Biden,Black,Northeast
Biden,White,Midwest
Trump,White,South
Biden,Native American,West
Trump,White,South
Biden,White,West
Biden,White,West
Biden,White,Northeast
Biden,White,Midwest
Biden,White,Midwest
Biden,Black,South
Trump,Hispanic,West
Biden,Black,South
Biden,White,Northeast
Trump,White,Northeast
Biden,White,Northeast
Biden,White,West
Trump,Two or more races,Midwest
Trump,White,South
Biden,White,West
Biden,Black,South
Biden,White,West
Trump,White,West
Biden,White,Midwest
Trump,White,West
Biden,White,South
Biden,Black,South
Biden,White,Northeast
Biden,White,Northeast
Biden,White,Northeast
Biden,White,South
Trump,White,West
Trump,White,Midwest
Biden,White,West
Trump,White,Midwest
Trump,White,Midwest
Biden,Native American,West
Biden,White,West
Biden,White,Northeast
Trump,Two or more races,Midwest
Trump,White,West
Biden,Hispanic,South
Biden,Two or more races,West
Biden,White,Northeast
Trump,White,Midwest
Trump,White,South
Trump,White,South
Biden,White,West
Biden,White,West
Trump,White,Northeast
Biden,Two or more races,South
Trump,White,West
